Title,Year,IMDB rating,Metascore,Votes,Description,Type
Midsommar. W bialy dzien,(2019),7.6,73        ,31929,"
    A couple travels to Sweden to visit a rural hometown's fabled mid-summer festival. What begins as an idyllic retreat quickly devolves into an increasingly violent and bizarre competition at the hands of a pagan cult.","
Drama, Horror, Mystery            "
Brightburn: Syn ciemnosci,(2019),6.2,44        ,33572,"
    What if a child from another world crash-landed on Earth, but instead of becoming a hero to mankind, he proved to be something far more sinister?","
Horror, Sci-Fi            "
Sztuka scigania sie w deszczu,(2019),7.3,43        ,1831,"
    Through his bond with his owner, aspiring Formula One race car driver Denny, golden retriever Enzo learns that the techniques needed on the racetrack can also be used to successfully navigate the journey of life.","
Comedy, Drama            "
Królowe zbrodni,(2019),5.2,36        ,1927,"
    The wives of New York gangsters in Hell's Kitchen in the 1970s continue to operate their husbands' rackets after they're locked up in prison.","
Action, Crime, Drama            "
Niedobrani,(2019),7.0,67        ,37100,"
    Journalist Fred Flarsky reunites with his childhood crush, Charlotte Field, now one of the most influential women in the world. As she prepares to make a run for the Presidency, Charlotte hires Fred as her speechwriter and sparks fly.","
Comedy, Romance            "
Shazam!,(2019),7.2,70        ,165572,"
    We all have a superhero inside us, it just takes a bit of magic to bring it out. In Billy Batson's case, by shouting out one word - SHAZAM - this streetwise fourteen-year-old foster kid can turn into the grown-up superhero Shazam.","
Action, Adventure, Comedy            "
The Peanut Butter Falcon,(2019),7.5,67        ,851,"
    Zak runs away from his care home to make his dream of becoming a wrestler come true.","
Adventure            "
The Peanut Butter Falcon,(2019),7.5,67        ,851,"
    Zak runs away from his care home to make his dream of becoming a wrestler come true.","
Adventure            "
Toy Story 4,(2019),8.2,84        ,82990,"
    When a new toy called ""Forky"" joins Woody and the gang, a road trip alongside old and new friends reveals how big the world can be for a toy.","
Animation, Adventure, Comedy            "
Rocketman,(2019),7.5,69        ,53795,"
    A musical fantasy about the fantastical human story of Elton John's breakthrough years.","
Biography, Drama, Music            "
Grzeczni chlopcy,(2019),6.7,59        ,3484,"
    Three sixth grade boys ditch school and embark on an epic journey while carrying accidentally stolen drugs, being hunted by teenage girls, and trying to make their way home in time for a long-awaited party.","
Adventure, Comedy            "
Honey Boy,(2019),6.1,64        ,314,"
    From a screenplay by Shia LaBeouf, based on his own experiences, filmmaker Alma Har'el brings to life a young actor's stormy childhood and early adult years as he struggles to reconcile with his father and deal with his mental health.","
Drama            "
Faworyta,(2018),7.6,90        ,126194,"
    In early 18th century England, a frail Queen Anne occupies the throne and her close friend, Lady Sarah, governs the country in her stead. When a new servant, Abigail, arrives, her charm endears her to Sarah.","
Biography, Drama, History            "
Oszustki,(2019),5.3,35        ,14292,"
    Anne Hathaway and Rebel Wilson star as female scam artists, one low rent and the other high class, who team up to take down the men who have wronged them.","
Comedy, Crime            "
Brian Banks,(2018),6.5,58        ,447,"
    A football player's dreams to play in the NFL are halted when he is wrongly convicted and sent to prison. Years later, he fights to clear his name within an unjust system.","
Biography, Drama, Sport            "
A Score to Settle,(2019),4.5,37        ,982,"
    An ex-enforcer for a local crime syndicate has vowed to enact retribution on his mob bosses after 22 years of wrongful imprisonment. The only thing diverting his violent plans is a new found relationship to his beloved son.","
Action, Drama, Thriller            "
Pokémon: Detektyw Pikachu,(2019),6.7,53        ,85595,"
    In a world where people collect Pokémon to do battle, a boy comes across an intelligent talking Pikachu who seeks to be a detective.","
Action, Adventure, Comedy            "
Zabawa w pochowanego,(2019),6.7,65        ,251,"
    A bride's wedding night takes a sinister turn when her eccentric new in-laws force her to take part in a terrifying game.","
Horror, Mystery, Thriller            "
Hellboy,(2019),5.2,31        ,45249,"
    Based on the graphic novels by Mike Mignola, Hellboy, caught between the worlds of the supernatural and human, battles an ancient sorceress bent on revenge.","
Action, Adventure, Fantasy            "
The Lighthouse,(2019),8.0,91        ,638,"
    The story of two lighthouse keepers on a remote and mysterious New England island in the 1890s.","
Drama, Fantasy, Horror            "
Spider-Man Uniwersum,(2018),8.5,87        ,246463,"
    Teen Miles Morales becomes Spider-Man of his reality, crossing his path with five counterparts from other dimensions to stop a threat for all realities.","
Animation, Action, Adventure            "
After,(2019),5.4,30        ,16070,"
    A young woman falls for a guy with a dark secret and the two embark on a rocky relationship. Based on the novel by Anna Todd.","
Drama, Romance            "
Yesterday,(2019),7.0,56        ,27947,"
    A struggling musician realizes he's the only person on Earth who can remember The Beatles after waking up in an alternate timeline where they never existed.","
Comedy, Fantasy, Music            "
To,(2017),7.4,69        ,373889,"
    In the summer of 1989, a group of bullied kids band together to destroy a shape-shifting monster, which disguises itself as a clown and preys on the children of Derry, their small Maine town.","
Horror            "
Kapitan Marvel,(2019),7.0,64        ,346965,"
    Carol Danvers becomes one of the universe's most powerful heroes when Earth is caught in the middle of a galactic war between two alien races.","
Action, Adventure, Sci-Fi            "
Pelzajaca smierc,(2019),6.6,61        ,11706,"
    A young woman, while attempting to save her father during a category 5 hurricane, finds herself trapped in a flooding house and must fight for her life against alligators.","
Action, Drama, Horror            "
Godzilla II: Król potworów,(2019),6.3,48        ,66721,"
    The crypto-zoological agency Monarch faces off against a battery of god-sized monsters, including the mighty Godzilla, who collides with Mothra, Rodan, and his ultimate nemesis, the three-headed King Ghidorah.","
Action, Adventure, Fantasy            "
Bohemian Rhapsody,(2018),8.0,49        ,370500,"
    The story of the legendary rock band Queen and lead singer Freddie Mercury, leading up to their famous performance at Live Aid (1985).","
Biography, Drama, Music            "
John Wick 3,(2019),7.8,73        ,128293,"
    Super-assassin John Wick is on the run after killing a member of the international assassin's guild, and with a $14 million price tag on his head - he is the target of hit men and women everywhere.","
Action, Crime, Thriller            "
To my,(2019),7.0,81        ,139689,"
    A family's serene beach vacation turns to chaos when their doppelgängers appear and begin to terrorize them.","
Horror, Mystery, Thriller            "
Tolkien,(2019),6.9,48        ,11301,"
    The formative years of the orphaned author J.R.R. Tolkien as he finds friendship, love and artistic inspiration among a group of fellow outcasts at school.","
Biography, Drama, War            "
The Farewell,(2019),8.2,90        ,4515,"
    A Chinese family discovers their grandmother has only a short while left to live and decide to keep her in the dark, scheduling a wedding to gather before she dies.","
Comedy, Drama            "
Avengers: Wojna bez granic,(2018),8.5,68        ,697638,"
    The Avengers and their allies must be willing to sacrifice all in an attempt to defeat the powerful Thanos before his blitz of devastation and ruin puts an end to the universe.","
Action, Adventure, Sci-Fi            "
Dziedzictwo. Hereditary,(2018),7.3,87        ,165818,"
    After the family matriarch passes away, a grieving family is haunted by tragic and disturbing occurrences, and begin to unravel dark secrets.","
Drama, Horror, Mystery            "
Szybcy i wściekli 8,(2017),6.7,56        ,184335,"
    When a mysterious woman seduces Dom into the world of terrorism and a betrayal of those closest to him, the crew face trials that will test them as never before.","
Action, Adventure, Thriller            "
Nienawistna ósemka,(2015),7.8,68        ,448005,"
    In the dead of a Wyoming winter, a bounty hunter and his prisoner find shelter in a cabin currently inhabited by a collection of nefarious characters.","
Crime, Drama, Mystery            "
Angry Birds Film 2,(2019),6.4,60        ,1818,"
    The flightless birds and scheming green pigs take their feud to the next level.","
Animation, Adventure, Comedy            "
Starcie tytanów,(2010),5.8,39        ,258273,"
    Perseus demigod, son of Zeus, battles the minions of the underworld to stop them from conquering heaven and earth.","
Action, Adventure, Fantasy            "
Parasite,(2019),8.6,89        ,15384,"
    All unemployed, Ki-taek's family takes peculiar interest in the wealthy and glamorous Parks for their livelihood until they get entangled in an unexpected incident.","
Comedy, Drama, Thriller            "
Men in Black: International,(2019),5.6,38        ,39077,"
    The Men in Black have always protected the Earth from the scum of the universe. In this new adventure, they tackle their biggest threat to date: a mole in the Men in Black organization.","
Action, Adventure, Comedy            "
Mission: Impossible - Fallout,(2018),7.8,86        ,243045,"
    Ethan Hunt and his IMF team, along with some familiar allies, race against time after a mission gone wrong.","
Action, Adventure, Thriller            "
Light of My Life,(2019),6.6,67        ,1309,"
    Parent and child journey through the outskirts of society a decade after a pandemic has wiped out half the world's population. As a father struggles to protect his child, their bond, and the character of humanity, is tested.","
Drama            "
Blinded by the Light. Sila muzyki,(2019),6.8,71        ,2547,"
    In 1987, during the austere days of Margaret Thatcher's Britain, a teenager learns to live life, understand his family, and find his own voice through the music of Bruce Springsteen.","
Comedy, Drama, Music            "
Wdowy,(2018),6.9,84        ,67320,"
    Set in contemporary Chicago, amid a time of turmoil, four women with nothing in common except a debt left behind by their dead husbands' criminal activities, take fate into their own hands, and conspire to forge a future on their own terms.","
Crime, Drama, Thriller            "
Narodziny gwiazdy,(2018),7.7,88        ,268326,"
    A musician helps a young singer find fame as age and alcoholism send his own career into a downward spiral.","
Drama, Music, Romance            "
Spider-Man: Homecoming,(2017),7.5,73        ,446213,"
    Peter Parker balances his life as an ordinary high school student in Queens with his superhero alter-ego Spider-Man, and finds himself on the trail of a new menace prowling the skies of New York City.","
Action, Adventure, Sci-Fi            "
Byl sobie pies 2,(2019),7.4,43        ,5282,"
    A dog finds the meaning of his own existence through the lives of the humans he meets.","
Adventure, Comedy, Drama            "
Topielisko. Klatwa La Llorony,(2019),5.4,41        ,20965,"
    Ignoring the eerie warning of a troubled mother suspected of child endangerment, a social worker and her own small kids are soon drawn into a frightening supernatural realm.","
Horror, Mystery, Thriller            "
The Great Hack,(2019),7.0,67        ,8254,"
    The Cambridge Analytica scandal is examined through the roles of several affected persons.","
Documentary            "
Annabelle wraca do domu,(2019),6.1,53        ,22964,"
    While babysitting the daughter of Ed and Lorraine Warren, a teenager and her friend unknowingly awaken an evil spirit trapped in a doll.","
Horror, Mystery, Thriller            "
Zwyczajna przysluga,(2018),6.8,67        ,90933,"
    Stephanie is a single mother with a parenting vlog who befriends Emily, a secretive upper-class woman who has a child at the same elementary school. When Emily goes missing, Stephanie takes it upon herself to investigate.","
Comedy, Crime, Drama            "
Blade Runner 2049,(2017),8.0,81        ,386144,"
    A young blade runner's discovery of a long-buried secret leads him to track down former blade runner Rick Deckard, who's been missing for thirty years.","
Action, Drama, Mystery            "
Jupiter: Intronizacja,(2015),5.3,40        ,168177,"
    A young woman discovers her destiny as an heiress of intergalactic nobility and must fight to protect the inhabitants of Earth from an ancient and destructive industry.","
Action, Adventure, Sci-Fi            "
Mary Poppins powraca,(2018),6.8,66        ,58717,"
    Decades after her original visit, the magical nanny returns to help the Banks siblings and Michael's children through a difficult time in their lives.","
Comedy, Family, Fantasy            "
Zabójczy rejs,(2019),6.0,38        ,62571,"
    A New York cop and his wife go on a European vacation to reinvigorate the spark in their marriage, but end up getting framed and on the run for the death of an elderly billionaire.","
Action, Comedy, Crime            "
Thor: Ragnarok,(2017),7.9,74        ,501583,"
    Thor (Chris Hemsworth) is imprisoned on the planet Sakaar, and must race against time to return to Asgard and stop Ragnarök, the destruction of his world, at the hands of the powerful and ruthless villain Hela (Cate Blanchett).","
Action, Adventure, Comedy            "
Venom,(2018),6.7,35        ,296826,"
    A failed reporter is bonded to an alien entity, one of many symbiotes who have invaded Earth. But the being takes a liking to Earth and decides to protect it.","
Action, Sci-Fi, Thriller            "
Wilk z Wall Street,(2013),8.2,75        ,1050246,"
    Based on the true story of Jordan Belfort, from his rise to a wealthy stock-broker living the high life to his fall involving crime, corruption and the federal government.","
Biography, Crime, Drama            "
Pierwszy czlowiek,(2018),7.3,84        ,130704,"
    A look at the life of the astronaut, Neil Armstrong, and the legendary space mission that led him to become the first man to walk on the Moon on July 20, 1969.","
Biography, Drama, History            "
Ból i blask,(2019),7.8,81        ,8061,"
    A film director reflects on the choices he's made in life as past and present come crashing down around him.","
Drama            "
Szybcy i wściekli 7,(2015),7.2,67        ,338516,"
    Deckard Shaw seeks revenge against Dominic Toretto and his family for his comatose brother.","
Action, Adventure, Thriller            "
Aquaman,(2018),7.1,55        ,284548,"
    Arthur Curry, the human-born heir to the underwater kingdom of Atlantis, goes on a quest to prevent a war between the worlds of ocean and land.","
Action, Adventure, Fantasy            "
Fantastyczne zwierzeta: Zbrodnie Grindelwalda,(2018),6.6,52        ,173983,"
    The second installment of the ""Fantastic Beasts"" series featuring the adventures of Magizoologist Newt Scamander.","
Adventure, Family, Fantasy            "
Django,(2012),8.4,81        ,1227807,"
    With the help of a German bounty hunter, a freed slave sets out to rescue his wife from a brutal Mississippi plantation owner.","
Drama, Western            "
Ralph Demolka w internecie,(2018),7.1,71        ,97732,"
    Six years after the events of ""Wreck-It Ralph,"" Ralph and Vanellope, now friends, discover a wi-fi router in their arcade, leading them into a new adventure.","
Animation, Adventure, Comedy            "
Deadpool 2,(2018),7.7,66        ,408174,"
    Foul-mouthed mutant mercenary Wade Wilson (AKA. Deadpool), brings together a team of fellow mutant rogues to protect a young boy with supernatural abilities from the brutal, time-traveling cyborg, Cable.","
Action, Adventure, Comedy            "
Zle sie dzieje w El Royale,(2018),7.1,60        ,96862,"
    Early 1970s. Four strangers check in at the El Royale Hotel. The hotel is deserted, staffed by a single desk clerk. Some of the new guests' reasons for being there are less than innocent and some and are not who they appear to be.","
Crime, Drama, Mystery            "
X-Men: Mroczna Phoenix,(2019),6.0,43        ,54822,"
    Jean Grey begins to develop incredible powers that corrupt and turn her into a Dark Phoenix. Now the X-Men will have to decide if the life of a team member is worth more than all of humanity.","
Action, Adventure, Sci-Fi            "
Bajecznie bogaci Azjaci,(2018),6.9,74        ,105296,"
    This contemporary romantic comedy, based on a global bestseller, follows native New Yorker Rachel Chu to Singapore to meet her boyfriend's family.","
Comedy, Drama, Romance            "
47 Meters Down: Uncaged,(2019),5.4,44        ,717,"
    Four teen girls diving in a ruined underwater city quickly learn they've entered the territory of the deadliest shark species in the claustrophobic labyrinth of submerged caves.","
Adventure, Drama, Horror            "
Interstellar,(2014),8.6,74        ,1320162,"
    A team of explorers travel through a wormhole in space in an attempt to ensure humanity's survival.","
Adventure, Drama, Sci-Fi            "
Legion samobójców,(2016),6.0,40        ,540800,"
    A secret government agency recruits some of the most dangerous incarcerated super-villains to form a defensive task force. Their first mission: save the world from the apocalypse.","
Action, Adventure, Fantasy            "
Na ringu z rodzina,(2019),7.1,68        ,36769,"
    A former wrestler and his family make a living performing at small venues around the country while his kids dream of joining World Wrestling Entertainment.","
Biography, Comedy, Drama            "
"Podly, okrutny, zly",(2019),6.7,52        ,50603,"
    A chronicle of the crimes of Ted Bundy from the perspective of Liz, his longtime girlfriend, who refused to believe the truth about him for years.","
Biography, Crime, Drama            "
Plus One,(2019),6.6,66        ,2202,"
    In order to survive a summer of wedding fever, longtime single friends, Ben and Alice, agree to be each other's plus one at every wedding they've been invited to.","
Comedy, Drama, Romance            "
Dumbo,(2019),6.4,51        ,42284,"
    A young elephant, whose oversized ears enable him to fly, helps save a struggling circus, but when the circus plans a new venture, Dumbo and his friends discover dark secrets beneath its shiny veneer.","
Adventure, Family, Fantasy            "
Skin,(2018),6.9,58        ,5768,"
    A destitute young man, raised by racist skinheads and notorious among white supremacists, turns his back on hatred and violence to transform his life, with the help of a black activist and the woman he loves.","
Biography, Crime, Drama            "
Green Book,(2018),8.2,69        ,230880,"
    A working-class Italian-American bouncer becomes the driver of an African-American classical pianist on a tour of venues through the 1960s American South.","
Biography, Comedy, Drama            "
Incepcja,(2010),8.8,74        ,1863126,"
    A thief who steals corporate secrets through the use of dream-sharing technology is given the inverse task of planting an idea into the mind of a C.E.O.","
Action, Adventure, Sci-Fi            "
Operacja Overlord,(2018),6.7,60        ,61864,"
    A small group of American soldiers find horror behind enemy lines on the eve of D-Day.","
Action, Adventure, Horror            "
Jestem matka,(2019),6.8,64        ,44161,"
    A teenage girl is raised underground by a kindly robot ""Mother"" -- designed to repopulate the earth following the extinction of mankind. But their unique bond is threatened when an inexplicable stranger arrives with alarming news.","
Drama, Horror, Sci-Fi            "
Serenity,(2019),5.3,37        ,22459,"
    A fishing boat captain juggles facing his mysterious past and finding himself ensnared in a reality where nothing is what it seems.","
Drama, Mystery, Thriller            "
The Intruder,(2019),5.5,39        ,5703,"
    A young married couple buys a beautiful house on several acres of land, only to find out that the man they bought it from refuses to let go of the property.","
Drama, Horror, Mystery            "
Uciekaj!,(2017),7.7,84        ,414703,"
    A young African-American visits his white girlfriend's parents for the weekend, where his simmering uneasiness about their reception of him eventually reaches a boiling point.","
Horror, Mystery, Thriller            "
John Wick,(2014),7.4,68        ,469027,"
    An ex-hit-man comes out of retirement to track down the gangsters that killed his dog and took everything from him.","
Action, Crime, Thriller            "
Baby Driver,(2017),7.6,86        ,376237,"
    After being coerced into working for a crime boss, a young getaway driver finds himself taking part in a heist doomed to fail.","
Action, Crime, Drama            "
Czarna Pantera,(2018),7.3,88        ,533925,"
    T'Challa, heir to the hidden but advanced kingdom of Wakanda, must step forward to lead his people into a new future and must confront a challenger from his country's past.","
Action, Adventure, Sci-Fi            "
Smetarz dla zwierzaków,(2019),5.8,57        ,53101,"
    Dr. Louis Creed and his wife, Rachel, relocate from Boston to rural Maine with their two young children. The couple soon discover a mysterious burial ground hidden deep in the woods near their new home.","
Horror, Mystery, Thriller            "
Czarne bractwo. BlacKkKlansman,(2018),7.5,83        ,159565,"
    Ron Stallworth, an African American police officer from Colorado Springs, CO, successfully manages to infiltrate the local Ku Klux Klan branch with the help of a Jewish surrogate who eventually becomes its leader. Based on actual events.","
Biography, Crime, Drama            "
Anna,(2019),6.6,40        ,7737,"
    Beneath Anna Poliatova's striking beauty lies a secret that will unleash her indelible strength and skill to become one of the world's most feared government assassins.","
Action, Thriller            "
Paskudy. UglyDolls,(2019),4.7,39        ,2530,"
    An animated adventure in which the free-spirited UglyDolls confront what it means to be different, struggle with a desire to be loved, and ultimately discover who you truly are is what matters most.","
Animation, Adventure, Comedy            "
Piękna i Bestia,(2017),7.2,65        ,243293,"
    A selfish prince is cursed to become a monster for the rest of his life, unless he learns to fall in love with a beautiful young woman he keeps prisoner.","
Family, Fantasy, Musical            "
Zaginiona dziewczyna,(2014),8.1,79        ,771680,"
    With his wife's disappearance having become the focus of an intense media circus, a man sees the spotlight turned on him when it's suspected that he may not be innocent.","
Drama, Mystery, Thriller            "
Booksmart,(2019),7.4,84        ,31448,"
    On the eve of their high school graduation, two academic superstars and best friends realize they should have worked less and played more. Determined not to fall short of their peers, the girls try to cram four years of fun into one night.","
Comedy            "
Król rozrywki,(2017),7.6,48        ,204166,"
    Celebrates the birth of show business and tells of a visionary who rose from nothing to create a spectacle that became a worldwide sensation.","
Biography, Drama, Musical            "
Slonce tez jest gwiazda,(2019),5.5,52        ,1706,"
    A hopeless romantic ambivalent about his future in medical school falls for a hard-luck young woman who doesn't believe in love.","
Drama, Romance            "
Liga Sprawiedliwości,(2017),6.4,45        ,335921,"
    Fueled by his restored faith in humanity and inspired by Superman's selfless act, Bruce Wayne enlists the help of his new-found ally, Diana Prince, to face an even greater enemy.","
Action, Adventure, Fantasy            "
Love,(2015),6.1,51        ,38075,"
    Murphy is an American living in Paris who enters a highly sexually and emotionally charged relationship with the unstable Electra. Unaware of the effect it will have on their relationship, they invite their pretty neighbor into their bed.","
Drama, Romance            "
Them That Follow,(2019),5.5,58        ,448,"
    Set deep in the wilds of Appalachia, where believers handle death-dealing snakes to prove themselves before God, Them That Follow tells the story of a pastor's daughter who holds a secret that threatens to tear her community apart.","
Thriller            "
Szybcy i wściekli 6,(2013),7.1,61        ,349783,"
    Hobbs has Dominic and Brian reassemble their crew to take down a team of mercenaries: Dominic unexpectedly gets convoluted also facing his presumed deceased girlfriend, Letty.","
Action, Adventure, Thriller            "
Strażnicy Galaktyki,(2014),8.1,76        ,964445,"
    A group of intergalactic criminals must pull together to stop a fanatical warrior with plans to purge the universe.","
Action, Adventure, Comedy            "
Shaft,(2019),6.4,40        ,25027,"
    JJ Shaft, a cyber security expert with a degree from MIT, enlists his family's help to uncover the truth behind his best friend's untimely death.","
Action, Comedy, Crime            "
Strażnicy Galaktyki vol. 2,(2017),7.6,67        ,497748,"
    The Guardians struggle to keep together as a team while dealing with their personal family issues, notably Star-Lord's encounter with his father the ambitious celestial being Ego.","
Action, Adventure, Comedy            "
xXx: Reaktywacja,(2017),5.2,42        ,79033,"
    Xander Cage is left for dead after an incident, though he secretly returns to action for a new, tough assignment with his handler Augustus Gibbons.","
Action, Adventure, Thriller            "
Glass,(2019),6.7,43        ,150640,"
    Security guard David Dunn uses his supernatural abilities to track Kevin Wendell Crumb, a disturbed man who has twenty-four personalities.","
Drama, Sci-Fi, Thriller            "
Dunkierka,(2017),7.9,94        ,476513,"
    Allied soldiers from Belgium, the British Empire, and France are surrounded by the German Army, and evacuated during a fierce battle in World War II.","
Action, Drama, History            "
Baywatch: Słoneczny patrol,(2017),5.5,37        ,141342,"
    Devoted lifeguard Mitch Buchannon butts heads with a brash new recruit, as they uncover a criminal plot that threatens the future of the bay.","
Action, Comedy, Crime            "
Ciche miejsce,(2018),7.5,82        ,317179,"
    In a post-apocalyptic world, a family is forced to live in silence while hiding from monsters with ultra-sensitive hearing.","
Drama, Horror, Sci-Fi            "
Gdzie jestes Bernadette?,(2019),6.7,51        ,567,"
    A loving mom becomes compelled to reconnect with her creative passions after years of sacrificing herself for her family. Her leap of faith takes her on an epic adventure that jump-starts her life and leads to her triumphant rediscovery.","
Comedy, Drama, Mystery            "
After the Wedding,(2019),5.4,52        ,248,"
    A manager of an orphanage in Kolkata travels to New York to meet a benefactor.","
Drama            "
Czerwona jaskólka,(2018),6.6,53        ,140947,"
    Ballerina Dominika Egorova is recruited to 'Sparrow School,' a Russian intelligence service where she is forced to use her body as a weapon. Her first mission, targeting a C.I.A. agent, threatens to unravel the security of both nations.","
Action, Drama, Thriller            "
Trzy kroki od siebie,(2019),7.2,53        ,20010,"
    A pair of teenagers with cystic fibrosis meet in a hospital and fall in love, though their disease means they must avoid close physical contact.","
Drama, Romance            "
Wild Rose,(2018),7.4,80        ,2922,"
    A troubled young Glaswegian woman dreams of becoming a Nashville country star.","
Drama, Music            "
Stuber,(2019),6.2,42        ,8706,"
    A detective recruits his Uber driver into an unexpected night of adventure.","
Action, Comedy, Crime            "
Smak zemsty. Peppermint,(2018),6.5,29        ,38652,"
    Five years after her husband and daughter are killed in a senseless act of violence, a woman comes back from self-imposed exile to seek revenge against those responsible and the system that let them go free.","
Action, Drama, Thriller            "
Na skraju jutra,(2014),7.9,71        ,552512,"
    A soldier fighting aliens gets to relive the same day over and over again, the day restarting every time he dies.","
Action, Sci-Fi            "
Igrzyska śmierci,(2012),7.2,68        ,800496,"
    Katniss Everdeen voluntarily takes her younger sister's place in the Hunger Games: a televised competition in which two teenagers from each of the twelve Districts of Panem are chosen at random to fight to the death.","
Action, Adventure, Sci-Fi            "
Czas na miłość,(2013),7.8,55        ,268405,"
    At the age of 21, Tim discovers he can travel in time and change what happens and has happened in his own life. His decision to make his world a better place by getting a girlfriend turns out not to be as easy as you might think.","
Comedy, Drama, Fantasy            "
Zabójcze maszyny,(2018),6.1,44        ,76297,"
    In a post-apocalyptic world where cities ride on wheels and consume each other to survive, two people meet in London and try to stop a conspiracy.","
Action, Adventure, Fantasy            "
Avengers,(2012),8.0,69        ,1195035,"
    Earth's mightiest heroes must come together and learn to fight as a team if they are going to stop the mischievous Loki and his alien army from enslaving humanity.","
Action, Adventure, Sci-Fi            "
Wonder Woman,(2017),7.4,76        ,496292,"
    When a pilot crashes and tells of conflict in the outside world, Diana, an Amazonian warrior in training, leaves home to fight a war, discovering her full powers and true destiny.","
Action, Adventure, Fantasy            "
Slowik,(2018),6.8,76        ,929,"
    Set in 1825, Clare, a young Irish convict woman, chases a British officer through the rugged Tasmanian wilderness, bent on revenge for a terrible act of violence he committed against her family. On the way she enlists the services of an Aboriginal tracker named Billy, who is also marked by trauma from his own violence-filled past.","
Adventure, Drama, Thriller            "
Kopciuszek,(2015),6.9,67        ,145328,"
    When her father unexpectedly dies, young Ella finds herself at the mercy of her cruel stepmother and her scheming stepsisters. Never one to give up hope, Ella's fortunes begin to change after meeting a dashing stranger.","
Drama, Family, Fantasy            "
Unplanned,(2019),5.9,10        ,8340,"
    All Abby Johnson ever wanted to do was help women. As one of the youngest Planned Parenthood clinic directors in the nation, she believed in a woman's right to choose. Until the day she saw something that changed everything.","
Biography, Drama            "
Czarownica: Bajka ludowa z Nowej Anglii,(2015),6.8,83        ,158736,"
    A family in 1630s New England is torn apart by the forces of witchcraft, black magic, and possession.","
Horror, Mystery            "
Laleczka,(2019),6.2,48        ,12652,"
    A mother gives her 13-year-old son a toy doll for his birthday, unaware of its more sinister nature, he also kills people who disobeyed Andy.","
Horror            "
The Meg,(2018),5.7,46        ,121852,"
    A group of scientists exploring the Marianas Trench encounter the largest marine predator that has ever existed - the Megalodon.","
Action, Horror, Sci-Fi            "
Mad Max: Na drodze gniewu,(2015),8.1,90        ,790835,"
    In a post-apocalyptic wasteland, a woman rebels against a tyrannical ruler in search for her homeland with the aid of a group of female prisoners, a psychotic worshiper, and a drifter named Max.","
Action, Adventure, Sci-Fi            "
The Operative,(2019),5.5,47        ,936,"
    A woman is recruited by the Mossad to work undercover in Tehran.","
Thriller            "
Kapitan Ameryka: Wojna bohaterów,(2016),7.8,75        ,596289,"
    Political involvement in the Avengers' affairs causes a rift between Captain America and Iron Man.","
Action, Adventure, Sci-Fi            "
Suspiria,(2018),6.8,64        ,41915,"
    A darkness swirls at the center of a world-renowned dance company, one that will engulf the artistic director, an ambitious young dancer, and a grieving psychotherapist. Some will succumb to the nightmare. Others will finally wake up.","
Fantasy, Horror, Mystery            "
Playmobil: Film,(2019),4.3,25        ,399,"
    Animated feature film inspired by the Playmobil brand toys.","
Animation, Adventure, Comedy            "
Wyspa tajemnic,(2010),8.1,63        ,1018990,"
    In 1954, a U.S. Marshal investigates the disappearance of a murderer, who escaped from a hospital for the criminally insane.","
Mystery, Thriller            "
